detector,descriptor,frame,lidar_ttc,image_ttc
ORB,BRIEF,10,15.3122,34.7315
ORB,BRIEF,11,9.91929,17.8506
ORB,BRIEF,12,10.4633,22.5603
ORB,BRIEF,13,9.16567,15.9498
ORB,BRIEF,14,11.6992,9.60778
ORB,BRIEF,15,7.88476,13.2845
ORB,BRIEF,16,9.37072,11.5532
ORB,BRIEF,17,9.33367,15.0441
ORB,BRIEF,18,9.21515,21.8111
ORB,FREAK,1,13.7365,3.37508
ORB,FREAK,7,51.4338,-inf
ORB,FREAK,12,10.4633,23.7645
ORB,AKAZE,1,13.7365,12.5394
ORB,AKAZE,2,11.5888,-inf
ORB,AKAZE,3,18.3729,7.80812
ORB,AKAZE,4,12.4296,229.406
ORB,AKAZE,5,13.4841,-inf
ORB,AKAZE,6,7.04164,13.4145
ORB,AKAZE,7,51.4338,50.1826
ORB,AKAZE,8,22.9753,11.9951
ORB,AKAZE,9,12.1889,5.54988
ORB,AKAZE,10,15.3122,9.79125
ORB,AKAZE,11,9.91929,6.04345
ORB,AKAZE,12,10.4633,-inf
ORB,AKAZE,13,9.16567,7.04299
ORB,AKAZE,14,11.6992,14.0138
ORB,AKAZE,15,7.88476,32.4831
ORB,AKAZE,16,9.37072,4.10671
ORB,AKAZE,17,9.33367,15.7683
ORB,AKAZE,18,9.21515,7.41196
ORB,SIFT,1,13.7365,15.0326
ORB,SIFT,2,11.5888,11.8853
ORB,SIFT,3,18.3729,15.4791
ORB,SIFT,4,12.4296,293.964
ORB,SIFT,5,13.4841,73.2489
ORB,SIFT,6,7.04164,19.9934
ORB,SIFT,7,51.4338,-inf
ORB,SIFT,8,22.9753,9.11264
ORB,SIFT,9,12.1889,21.2278
ORB,SIFT,10,15.3122,17.6702
ORB,SIFT,11,9.91929,8.38304
ORB,SIFT,12,10.4633,-inf
ORB,SIFT,13,9.16567,9.31842
ORB,SIFT,14,11.6992,13.5239
ORB,SIFT,15,7.88476,26.1262
ORB,SIFT,16,9.37072,8.87432
ORB,SIFT,17,9.33367,18.3228
ORB,SIFT,18,9.21515,11.3869
ORB,ORB,1,13.7365,32.8316
ORB,ORB,2,11.5888,10.7511
ORB,ORB,3,18.3729,18.2793
ORB,ORB,4,12.4296,16.0494
ORB,ORB,5,13.4841,58.7163
ORB,ORB,6,7.04164,18.4549
ORB,ORB,7,51.4338,-inf
ORB,ORB,8,22.9753,11.8776
ORB,ORB,9,12.1889,-inf
ORB,ORB,10,15.3122,-inf
ORB,ORB,11,9.91929,8.49484
ORB,ORB,12,10.4633,-inf
ORB,ORB,13,9.16567,13.1269
ORB,ORB,14,11.6992,-inf
ORB,ORB,15,7.88476,24.6352
ORB,ORB,16,9.37072,13.7718
ORB,ORB,17,9.33367,17.9984
ORB,ORB,18,9.21515,82.8811
AKAZE,BRISK,1,13.7365,12.8797
AKAZE,BRISK,2,11.5888,15.6758
AKAZE,BRISK,3,18.3729,13.3166
AKAZE,BRISK,4,12.4296,14.9297
AKAZE,BRISK,5,13.4841,15.97
AKAZE,BRISK,6,7.04164,14.7337
AKAZE,BRISK,7,51.4338,15.9355
AKAZE,BRISK,8,22.9753,13.9422
AKAZE,BRISK,9,12.1889,13.9262
AKAZE,BRISK,10,15.3122,12.5766
AKAZE,BRISK,11,9.91929,12.41
AKAZE,BRISK,12,10.4633,10.3426
AKAZE,BRISK,13,9.16567,10.0855
AKAZE,BRISK,14,11.6992,10.7018
AKAZE,BRISK,15,7.88476,10.8347
AKAZE,BRISK,16,9.37072,10.878
AKAZE,BRISK,17,9.33367,9.85299
AKAZE,BRISK,18,9.21515,8.99207
AKAZE,BRIEF,1,13.7365,13.1732
AKAZE,BRIEF,2,11.5888,14.851
AKAZE,BRIEF,3,18.3729,14.4233
AKAZE,BRIEF,4,12.4296,14.3278
AKAZE,BRIEF,5,13.4841,15.3719
AKAZE,BRIEF,6,7.04164,15.3486
AKAZE,BRIEF,7,51.4338,17.3431
AKAZE,BRIEF,8,22.9753,14.1623
